"Time (CET/CEST)","Sweden (SE) > Norway (NO) [MW]","Norway (NO) > Sweden (SE) [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","94","0"
"01.01.2020 01:00 - 01.01.2020 02:00","0","176"
"01.01.2020 02:00 - 01.01.2020 03:00","0","80"
"01.01.2020 03:00 - 01.01.2020 04:00","439","0"
"01.01.2020 04:00 - 01.01.2020 05:00","592","0"
"01.01.2020 05:00 - 01.01.2020 06:00","1427","0"
"01.01.2020 06:00 - 01.01.2020 07:00","1921","0"
"01.01.2020 07:00 - 01.01.2020 08:00","2202","0"
"01.01.2020 08:00 - 01.01.2020 09:00","2065","0"
"01.01.2020 09:00 - 01.01.2020 10:00","2152","0"
"01.01.2020 10:00 - 01.01.2020 11:00","1800","0"
"01.01.2020 11:00 - 01.01.2020 12:00","1417","0"
"01.01.2020 12:00 - 01.01.2020 13:00","1196","0"
"01.01.2020 13:00 - 01.01.2020 14:00","1035","0"
"01.01.2020 14:00 - 01.01.2020 15:00","917","0"
"01.01.2020 15:00 - 01.01.2020 16:00","649","0"
"01.01.2020 16:00 - 01.01.2020 17:00","503","0"
"01.01.2020 17:00 - 01.01.2020 18:00","414","0"
"01.01.2020 18:00 - 01.01.2020 19:00","383","0"
"01.01.2020 19:00 - 01.01.2020 20:00","496","0"
"01.01.2020 20:00 - 01.01.2020 21:00","960","0"
"01.01.2020 21:00 - 01.01.2020 22:00","1077","0"
"01.01.2020 22:00 - 01.01.2020 23:00","1992","0"
"01.01.2020 23:00 - 02.01.2020 00:00","1909","0"
"02.01.2020 00:00 - 02.01.2020 01:00","2856","0"
"02.01.2020 01:00 - 02.01.2020 02:00","3164","0"
"02.01.2020 02:00 - 02.01.2020 03:00","2695","0"
"02.01.2020 03:00 - 02.01.2020 04:00","2238","0"
"02.01.2020 04:00 - 02.01.2020 05:00","2030","0"
"02.01.2020 05:00 - 02.01.2020 06:00","1946","0"
"02.01.2020 06:00 - 02.01.2020 07:00","2089","0"
"02.01.2020 07:00 - 02.01.2020 08:00","2518","0"
"02.01.2020 08:00 - 02.01.2020 09:00","2295","0"
"02.01.2020 09:00 - 02.01.2020 10:00","2286","0"
"02.01.2020 10:00 - 02.01.2020 11:00","2006","0"
"02.01.2020 11:00 - 02.01.2020 12:00","1683","0"
"02.01.2020 12:00 - 02.01.2020 13:00","1503","0"
"02.01.2020 13:00 - 02.01.2020 14:00","1472","0"
"02.01.2020 14:00 - 02.01.2020 15:00","1629","0"
"02.01.2020 15:00 - 02.01.2020 16:00","1549","0"
"02.01.2020 16:00 - 02.01.2020 17:00","1414","0"
"02.01.2020 17:00 - 02.01.2020 18:00","1320","0"
"02.01.2020 18:00 - 02.01.2020 19:00","1444","0"
"02.01.2020 19:00 - 02.01.2020 20:00","1746","0"
"02.01.2020 20:00 - 02.01.2020 21:00","2325","0"
"02.01.2020 21:00 - 02.01.2020 22:00","2493","0"
"02.01.2020 22:00 - 02.01.2020 23:00","2593","0"
"02.01.2020 23:00 - 03.01.2020 00:00","2753","0"
"03.01.2020 00:00 - 03.01.2020 01:00","2457","0"
"03.01.2020 01:00 - 03.01.2020 02:00","2404","0"
"03.01.2020 02:00 - 03.01.2020 03:00","2555","0"
"03.01.2020 03:00 - 03.01.2020 04:00","2746","0"
"03.01.2020 04:00 - 03.01.2020 05:00","2998","0"
"03.01.2020 05:00 - 03.01.2020 06:00","2841","0"
"03.01.2020 06:00 - 03.01.2020 07:00","2041","0"
"03.01.2020 07:00 - 03.01.2020 08:00","1701","0"
"03.01.2020 08:00 - 03.01.2020 09:00","1118","0"
"03.01.2020 09:00 - 03.01.2020 10:00","1079","0"
"03.01.2020 10:00 - 03.01.2020 11:00","1226","0"
"03.01.2020 11:00 - 03.01.2020 12:00","1134","0"
"03.01.2020 12:00 - 03.01.2020 13:00","1300","0"
"03.01.2020 13:00 - 03.01.2020 14:00","1216","0"
"03.01.2020 14:00 - 03.01.2020 15:00","1190","0"
"03.01.2020 15:00 - 03.01.2020 16:00","1122","0"
"03.01.2020 16:00 - 03.01.2020 17:00","1121","0"
"03.01.2020 17:00 - 03.01.2020 18:00","1291","0"
"03.01.2020 18:00 - 03.01.2020 19:00","1457","0"
"03.01.2020 19:00 - 03.01.2020 20:00","1448","0"
"03.01.2020 20:00 - 03.01.2020 21:00","2050","0"
"03.01.2020 21:00 - 03.01.2020 22:00","2701","0"
"03.01.2020 22:00 - 03.01.2020 23:00","2986","0"
"03.01.2020 23:00 - 04.01.2020 00:00","3241","0"
"04.01.2020 00:00 - 04.01.2020 01:00","3004","0"
"04.01.2020 01:00 - 04.01.2020 02:00","3022","0"
"04.01.2020 02:00 - 04.01.2020 03:00","2950","0"
"04.01.2020 03:00 - 04.01.2020 04:00","2757","0"
"04.01.2020 04:00 - 04.01.2020 05:00","2724","0"
"04.01.2020 05:00 - 04.01.2020 06:00","2816","0"
"04.01.2020 06:00 - 04.01.2020 07:00","2999","0"
"04.01.2020 07:00 - 04.01.2020 08:00","2948","0"
"04.01.2020 08:00 - 04.01.2020 09:00","2845","0"
"04.01.2020 09:00 - 04.01.2020 10:00","2495","0"
"04.01.2020 10:00 - 04.01.2020 11:00","2602","0"
"04.01.2020 11:00 - 04.01.2020 12:00","2951","0"
"04.01.2020 12:00 - 04.01.2020 13:00","2877","0"
"04.01.2020 13:00 - 04.01.2020 14:00","2974","0"
"04.01.2020 14:00 - 04.01.2020 15:00","2630","0"
"04.01.2020 15:00 - 04.01.2020 16:00","2360","0"
"04.01.2020 16:00 - 04.01.2020 17:00","1745","0"
"04.01.2020 17:00 - 04.01.2020 18:00","1742","0"
"04.01.2020 18:00 - 04.01.2020 19:00","1584","0"
"04.01.2020 19:00 - 04.01.2020 20:00","1748","0"
"04.01.2020 20:00 - 04.01.2020 21:00","1806","0"
"04.01.2020 21:00 - 04.01.2020 22:00","1679","0"
"04.01.2020 22:00 - 04.01.2020 23:00","1741","0"
"04.01.2020 23:00 - 05.01.2020 00:00","1941","0"
"05.01.2020 00:00 - 05.01.2020 01:00","1119","0"
"05.01.2020 01:00 - 05.01.2020 02:00","1311","0"
"05.01.2020 02:00 - 05.01.2020 03:00","1451","0"
"05.01.2020 03:00 - 05.01.2020 04:00","1125","0"
"05.01.2020 04:00 - 05.01.2020 05:00","1012","0"
"05.01.2020 05:00 - 05.01.2020 06:00","912","0"
"05.01.2020 06:00 - 05.01.2020 07:00","656","0"
"05.01.2020 07:00 - 05.01.2020 08:00","363","0"
"05.01.2020 08:00 - 05.01.2020 09:00","107","0"
"05.01.2020 09:00 - 05.01.2020 10:00","0","453"
"05.01.2020 10:00 - 05.01.2020 11:00","0","110"
"05.01.2020 11:00 - 05.01.2020 12:00","303","0"
"05.01.2020 12:00 - 05.01.2020 13:00","209","0"
"05.01.2020 13:00 - 05.01.2020 14:00","286","0"
"05.01.2020 14:00 - 05.01.2020 15:00","256","0"
"05.01.2020 15:00 - 05.01.2020 16:00","251","0"
"05.01.2020 16:00 - 05.01.2020 17:00","329","0"
"05.01.2020 17:00 - 05.01.2020 18:00","112","0"
"05.01.2020 18:00 - 05.01.2020 19:00","72","0"
"05.01.2020 19:00 - 05.01.2020 20:00","274","0"
"05.01.2020 20:00 - 05.01.2020 21:00","660","0"
"05.01.2020 21:00 - 05.01.2020 22:00","670","0"
"05.01.2020 22:00 - 05.01.2020 23:00","603","0"
"05.01.2020 23:00 - 06.01.2020 00:00","939","0"
"06.01.2020 00:00 - 06.01.2020 01:00","999","0"
"06.01.2020 01:00 - 06.01.2020 02:00","1007","0"
"06.01.2020 02:00 - 06.01.2020 03:00","937","0"
"06.01.2020 03:00 - 06.01.2020 04:00","1170","0"
"06.01.2020 04:00 - 06.01.2020 05:00","1421","0"
"06.01.2020 05:00 - 06.01.2020 06:00","1002","0"
"06.01.2020 06:00 - 06.01.2020 07:00","960","0"
"06.01.2020 07:00 - 06.01.2020 08:00","1456","0"
"06.01.2020 08:00 - 06.01.2020 09:00","1522","0"
"06.01.2020 09:00 - 06.01.2020 10:00","1206","0"
"06.01.2020 10:00 - 06.01.2020 11:00","464","0"
"06.01.2020 11:00 - 06.01.2020 12:00","0","68"
"06.01.2020 12:00 - 06.01.2020 13:00","0","142"
"06.01.2020 13:00 - 06.01.2020 14:00","0","69"
"06.01.2020 14:00 - 06.01.2020 15:00","0","38"
"06.01.2020 15:00 - 06.01.2020 16:00","0","426"
"06.01.2020 16:00 - 06.01.2020 17:00","0","850"
"06.01.2020 17:00 - 06.01.2020 18:00","0","1032"
"06.01.2020 18:00 - 06.01.2020 19:00","0","852"
"06.01.2020 19:00 - 06.01.2020 20:00","0","362"
"06.01.2020 20:00 - 06.01.2020 21:00","138","0"
"06.01.2020 21:00 - 06.01.2020 22:00","144","0"
"06.01.2020 22:00 - 06.01.2020 23:00","408","0"
"06.01.2020 23:00 - 07.01.2020 00:00","707","0"
"07.01.2020 00:00 - 07.01.2020 01:00","1218","0"
"07.01.2020 01:00 - 07.01.2020 02:00","1315","0"
"07.01.2020 02:00 - 07.01.2020 03:00","1248","0"
"07.01.2020 03:00 - 07.01.2020 04:00","947","0"
"07.01.2020 04:00 - 07.01.2020 05:00","786","0"
"07.01.2020 05:00 - 07.01.2020 06:00","146","0"
"07.01.2020 06:00 - 07.01.2020 07:00","263","0"
