"Time (CET/CEST)","Denmark (DK) > Norway (NO) [MW]","Norway (NO) > Denmark (DK) [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","1632"
"01.01.2021 01:00 - 01.01.2021 02:00","0","1632"
"01.01.2021 02:00 - 01.01.2021 03:00","0","1632"
"01.01.2021 03:00 - 01.01.2021 04:00","0","1632"
"01.01.2021 04:00 - 01.01.2021 05:00","0","1632"
"01.01.2021 05:00 - 01.01.2021 06:00","0","1632"
"01.01.2021 06:00 - 01.01.2021 07:00","0","1632"
"01.01.2021 07:00 - 01.01.2021 08:00","0","1632"
"01.01.2021 08:00 - 01.01.2021 09:00","0","1632"
"01.01.2021 09:00 - 01.01.2021 10:00","0","1632"
"01.01.2021 10:00 - 01.01.2021 11:00","0","1632"
"01.01.2021 11:00 - 01.01.2021 12:00","0","1632"
"01.01.2021 12:00 - 01.01.2021 13:00","0","1632"
"01.01.2021 13:00 - 01.01.2021 14:00","0","1632"
"01.01.2021 14:00 - 01.01.2021 15:00","0","1632"
"01.01.2021 15:00 - 01.01.2021 16:00","0","1632"
"01.01.2021 16:00 - 01.01.2021 17:00","0","1632"
"01.01.2021 17:00 - 01.01.2021 18:00","0","1632"
"01.01.2021 18:00 - 01.01.2021 19:00","0","1632"
"01.01.2021 19:00 - 01.01.2021 20:00","0","1632"
"01.01.2021 20:00 - 01.01.2021 21:00","0","1632"
"01.01.2021 21:00 - 01.01.2021 22:00","0","1632"
"01.01.2021 22:00 - 01.01.2021 23:00","0","1632"
"01.01.2021 23:00 - 02.01.2021 00:00","0","1632"
"02.01.2021 00:00 - 02.01.2021 01:00","0","1632"
"02.01.2021 01:00 - 02.01.2021 02:00","0","1632"
"02.01.2021 02:00 - 02.01.2021 03:00","0","1632"
"02.01.2021 03:00 - 02.01.2021 04:00","0","1632"
"02.01.2021 04:00 - 02.01.2021 05:00","0","1632"
"02.01.2021 05:00 - 02.01.2021 06:00","0","1632"
"02.01.2021 06:00 - 02.01.2021 07:00","0","1632"
"02.01.2021 07:00 - 02.01.2021 08:00","0","1632"
"02.01.2021 08:00 - 02.01.2021 09:00","0","1632"
"02.01.2021 09:00 - 02.01.2021 10:00","0","1632"
"02.01.2021 10:00 - 02.01.2021 11:00","0","1632"
"02.01.2021 11:00 - 02.01.2021 12:00","0","1632"
"02.01.2021 12:00 - 02.01.2021 13:00","0","1632"
"02.01.2021 13:00 - 02.01.2021 14:00","0","1632"
"02.01.2021 14:00 - 02.01.2021 15:00","0","1632"
"02.01.2021 15:00 - 02.01.2021 16:00","0","1632"
"02.01.2021 16:00 - 02.01.2021 17:00","0","1632"
"02.01.2021 17:00 - 02.01.2021 18:00","0","1632"
"02.01.2021 18:00 - 02.01.2021 19:00","0","1632"
"02.01.2021 19:00 - 02.01.2021 20:00","0","1632"
"02.01.2021 20:00 - 02.01.2021 21:00","0","1632"
"02.01.2021 21:00 - 02.01.2021 22:00","0","1632"
"02.01.2021 22:00 - 02.01.2021 23:00","0","1632"
"02.01.2021 23:00 - 03.01.2021 00:00","0","1632"
"03.01.2021 00:00 - 03.01.2021 01:00","0","1632"
"03.01.2021 01:00 - 03.01.2021 02:00","0","1632"
"03.01.2021 02:00 - 03.01.2021 03:00","0","1632"
"03.01.2021 03:00 - 03.01.2021 04:00","0","1632"
"03.01.2021 04:00 - 03.01.2021 05:00","0","1625"
"03.01.2021 05:00 - 03.01.2021 06:00","0","1614"
"03.01.2021 06:00 - 03.01.2021 07:00","0","1615"
"03.01.2021 07:00 - 03.01.2021 08:00","0","1570"
"03.01.2021 08:00 - 03.01.2021 09:00","0","1618"
"03.01.2021 09:00 - 03.01.2021 10:00","0","1618"
"03.01.2021 10:00 - 03.01.2021 11:00","0","1613"
"03.01.2021 11:00 - 03.01.2021 12:00","0","1610"
"03.01.2021 12:00 - 03.01.2021 13:00","0","1528"
"03.01.2021 13:00 - 03.01.2021 14:00","0","1468"
"03.01.2021 14:00 - 03.01.2021 15:00","0","1440"
"03.01.2021 15:00 - 03.01.2021 16:00","0","1407"
"03.01.2021 16:00 - 03.01.2021 17:00","0","1558"
"03.01.2021 17:00 - 03.01.2021 18:00","0","1508"
"03.01.2021 18:00 - 03.01.2021 19:00","0","1085"
"03.01.2021 19:00 - 03.01.2021 20:00","0","1306"
"03.01.2021 20:00 - 03.01.2021 21:00","0","1520"
"03.01.2021 21:00 - 03.01.2021 22:00","0","1478"
"03.01.2021 22:00 - 03.01.2021 23:00","0","1481"
"03.01.2021 23:00 - 04.01.2021 00:00","0","1019"
"04.01.2021 00:00 - 04.01.2021 01:00","0","463"
"04.01.2021 01:00 - 04.01.2021 02:00","0","201"
"04.01.2021 02:00 - 04.01.2021 03:00","0","184"
"04.01.2021 03:00 - 04.01.2021 04:00","0","241"
"04.01.2021 04:00 - 04.01.2021 05:00","0","674"
"04.01.2021 05:00 - 04.01.2021 06:00","0","1235"
"04.01.2021 06:00 - 04.01.2021 07:00","0","1532"
"04.01.2021 07:00 - 04.01.2021 08:00","0","1556"
"04.01.2021 08:00 - 04.01.2021 09:00","0","1417"
"04.01.2021 09:00 - 04.01.2021 10:00","0","1380"
"04.01.2021 10:00 - 04.01.2021 11:00","0","1378"
"04.01.2021 11:00 - 04.01.2021 12:00","0","1600"
"04.01.2021 12:00 - 04.01.2021 13:00","0","1613"
"04.01.2021 13:00 - 04.01.2021 14:00","0","1513"
"04.01.2021 14:00 - 04.01.2021 15:00","0","1472"
"04.01.2021 15:00 - 04.01.2021 16:00","0","1302"
"04.01.2021 16:00 - 04.01.2021 17:00","0","1169"
"04.01.2021 17:00 - 04.01.2021 18:00","0","1029"
"04.01.2021 18:00 - 04.01.2021 19:00","0","1266"
"04.01.2021 19:00 - 04.01.2021 20:00","0","1467"
"04.01.2021 20:00 - 04.01.2021 21:00","0","1612"
"04.01.2021 21:00 - 04.01.2021 22:00","0","1556"
"04.01.2021 22:00 - 04.01.2021 23:00","0","1594"
"04.01.2021 23:00 - 05.01.2021 00:00","0","1347"
"05.01.2021 00:00 - 05.01.2021 01:00","0","925"
"05.01.2021 01:00 - 05.01.2021 02:00","0","860"
"05.01.2021 02:00 - 05.01.2021 03:00","0","775"
"05.01.2021 03:00 - 05.01.2021 04:00","0","788"
"05.01.2021 04:00 - 05.01.2021 05:00","0","971"
"05.01.2021 05:00 - 05.01.2021 06:00","0","1049"
"05.01.2021 06:00 - 05.01.2021 07:00","0","1156"
"05.01.2021 07:00 - 05.01.2021 08:00","0","1070"
"05.01.2021 08:00 - 05.01.2021 09:00","0","807"
"05.01.2021 09:00 - 05.01.2021 10:00","0","875"
"05.01.2021 10:00 - 05.01.2021 11:00","0","775"
"05.01.2021 11:00 - 05.01.2021 12:00","0","595"
"05.01.2021 12:00 - 05.01.2021 13:00","0","387"
"05.01.2021 13:00 - 05.01.2021 14:00","0","448"
"05.01.2021 14:00 - 05.01.2021 15:00","0","659"
"05.01.2021 15:00 - 05.01.2021 16:00","0","535"
"05.01.2021 16:00 - 05.01.2021 17:00","0","545"
"05.01.2021 17:00 - 05.01.2021 18:00","0","731"
"05.01.2021 18:00 - 05.01.2021 19:00","0","734"
"05.01.2021 19:00 - 05.01.2021 20:00","0","800"
"05.01.2021 20:00 - 05.01.2021 21:00","0","784"
"05.01.2021 21:00 - 05.01.2021 22:00","0","890"
"05.01.2021 22:00 - 05.01.2021 23:00","0","922"
"05.01.2021 23:00 - 06.01.2021 00:00","0","679"
"06.01.2021 00:00 - 06.01.2021 01:00","0","102"
"06.01.2021 01:00 - 06.01.2021 02:00","0","30"
"06.01.2021 02:00 - 06.01.2021 03:00","93","0"
"06.01.2021 03:00 - 06.01.2021 04:00","0","145"
"06.01.2021 04:00 - 06.01.2021 05:00","0","217"
"06.01.2021 05:00 - 06.01.2021 06:00","0","577"
"06.01.2021 06:00 - 06.01.2021 07:00","0","649"
"06.01.2021 07:00 - 06.01.2021 08:00","0","1069"
"06.01.2021 08:00 - 06.01.2021 09:00","0","847"
"06.01.2021 09:00 - 06.01.2021 10:00","0","599"
"06.01.2021 10:00 - 06.01.2021 11:00","18","0"
"06.01.2021 11:00 - 06.01.2021 12:00","0","225"
"06.01.2021 12:00 - 06.01.2021 13:00","0","284"
"06.01.2021 13:00 - 06.01.2021 14:00","0","283"
"06.01.2021 14:00 - 06.01.2021 15:00","0","129"
"06.01.2021 15:00 - 06.01.2021 16:00","249","0"
"06.01.2021 16:00 - 06.01.2021 17:00","715","0"
"06.01.2021 17:00 - 06.01.2021 18:00","0","122"
"06.01.2021 18:00 - 06.01.2021 19:00","0","655"
"06.01.2021 19:00 - 06.01.2021 20:00","0","1058"
"06.01.2021 20:00 - 06.01.2021 21:00","0","1180"
"06.01.2021 21:00 - 06.01.2021 22:00","0","1370"
"06.01.2021 22:00 - 06.01.2021 23:00","0","1572"
"06.01.2021 23:00 - 07.01.2021 00:00","0","1253"
"07.01.2021 00:00 - 07.01.2021 01:00","0","1603"
"07.01.2021 01:00 - 07.01.2021 02:00","0","1632"
"07.01.2021 02:00 - 07.01.2021 03:00","0","1632"
"07.01.2021 03:00 - 07.01.2021 04:00","0","1623"
"07.01.2021 04:00 - 07.01.2021 05:00","0","1630"
"07.01.2021 05:00 - 07.01.2021 06:00","0","1599"
"07.01.2021 06:00 - 07.01.2021 07:00","0","1486"
"07.01.2021 07:00 - 07.01.2021 08:00","0","1442"
"07.01.2021 08:00 - 07.01.2021 09:00","0","1244"
"07.01.2021 09:00 - 07.01.2021 10:00","0","1386"
"07.01.2021 10:00 - 07.01.2021 11:00","0","1251"
"07.01.2021 11:00 - 07.01.2021 12:00","0","1534"
"07.01.2021 12:00 - 07.01.2021 13:00","0","1584"
"07.01.2021 13:00 - 07.01.2021 14:00","0","1317"
"07.01.2021 14:00 - 07.01.2021 15:00","0","1475"
"07.01.2021 15:00 - 07.01.2021 16:00","0","1414"
"07.01.2021 16:00 - 07.01.2021 17:00","0","1266"
"07.01.2021 17:00 - 07.01.2021 18:00","0","1510"
"07.01.2021 18:00 - 07.01.2021 19:00","0","1549"
"07.01.2021 19:00 - 07.01.2021 20:00","0","1455"
"07.01.2021 20:00 - 07.01.2021 21:00","0","1277"
"07.01.2021 21:00 - 07.01.2021 22:00","0","1226"
"07.01.2021 22:00 - 07.01.2021 23:00","0","1335"
"07.01.2021 23:00 - 08.01.2021 00:00","0","1504"
"08.01.2021 00:00 - 08.01.2021 01:00","0","1326"
"08.01.2021 01:00 - 08.01.2021 02:00","0","1364"
"08.01.2021 02:00 - 08.01.2021 03:00","0","1333"
"08.01.2021 03:00 - 08.01.2021 04:00","0","1321"
"08.01.2021 04:00 - 08.01.2021 05:00","0","1288"
"08.01.2021 05:00 - 08.01.2021 06:00","0","1112"
"08.01.2021 06:00 - 08.01.2021 07:00","0","1221"
"08.01.2021 07:00 - 08.01.2021 08:00","0","1173"
"08.01.2021 08:00 - 08.01.2021 09:00","0","1002"
"08.01.2021 09:00 - 08.01.2021 10:00","0","1018"
"08.01.2021 10:00 - 08.01.2021 11:00","0","1123"
"08.01.2021 11:00 - 08.01.2021 12:00","0","1063"
"08.01.2021 12:00 - 08.01.2021 13:00","0","986"
"08.01.2021 13:00 - 08.01.2021 14:00","0","977"
"08.01.2021 14:00 - 08.01.2021 15:00","0","1030"
"08.01.2021 15:00 - 08.01.2021 16:00","0","1028"
"08.01.2021 16:00 - 08.01.2021 17:00","0","1060"
"08.01.2021 17:00 - 08.01.2021 18:00","0","1203"
"08.01.2021 18:00 - 08.01.2021 19:00","0","1300"
"08.01.2021 19:00 - 08.01.2021 20:00","0","1496"
"08.01.2021 20:00 - 08.01.2021 21:00","0","1325"
"08.01.2021 21:00 - 08.01.2021 22:00","0","1087"
"08.01.2021 22:00 - 08.01.2021 23:00","0","1128"
"08.01.2021 23:00 - 09.01.2021 00:00","0","1318"
"09.01.2021 00:00 - 09.01.2021 01:00","0","1261"
"09.01.2021 01:00 - 09.01.2021 02:00","0","1380"
"09.01.2021 02:00 - 09.01.2021 03:00","0","1518"
"09.01.2021 03:00 - 09.01.2021 04:00","0","1558"
"09.01.2021 04:00 - 09.01.2021 05:00","0","1557"
"09.01.2021 05:00 - 09.01.2021 06:00","0","1554"
"09.01.2021 06:00 - 09.01.2021 07:00","0","1530"
"09.01.2021 07:00 - 09.01.2021 08:00","0","1624"
"09.01.2021 08:00 - 09.01.2021 09:00","0","1631"
"09.01.2021 09:00 - 09.01.2021 10:00","0","1631"
"09.01.2021 10:00 - 09.01.2021 11:00","0","1627"
"09.01.2021 11:00 - 09.01.2021 12:00","0","1628"
"09.01.2021 12:00 - 09.01.2021 13:00","0","1615"
"09.01.2021 13:00 - 09.01.2021 14:00","0","1620"
"09.01.2021 14:00 - 09.01.2021 15:00","0","1629"
"09.01.2021 15:00 - 09.01.2021 16:00","0","1631"
"09.01.2021 16:00 - 09.01.2021 17:00","0","1631"
"09.01.2021 17:00 - 09.01.2021 18:00","0","1632"
"09.01.2021 18:00 - 09.01.2021 19:00","0","1631"
"09.01.2021 19:00 - 09.01.2021 20:00","0","1631"
"09.01.2021 20:00 - 09.01.2021 21:00","0","1631"
"09.01.2021 21:00 - 09.01.2021 22:00","0","1631"
"09.01.2021 22:00 - 09.01.2021 23:00","0","1632"
"09.01.2021 23:00 - 10.01.2021 00:00","0","1631"
"10.01.2021 00:00 - 10.01.2021 01:00","0","1599"
"10.01.2021 01:00 - 10.01.2021 02:00","0","1126"
"10.01.2021 02:00 - 10.01.2021 03:00","0","722"
"10.01.2021 03:00 - 10.01.2021 04:00","0","722"
"10.01.2021 04:00 - 10.01.2021 05:00","0","528"
"10.01.2021 05:00 - 10.01.2021 06:00","0","496"
"10.01.2021 06:00 - 10.01.2021 07:00","0","379"
"10.01.2021 07:00 - 10.01.2021 08:00","0","585"
"10.01.2021 08:00 - 10.01.2021 09:00","0","1077"
"10.01.2021 09:00 - 10.01.2021 10:00","0","1368"
"10.01.2021 10:00 - 10.01.2021 11:00","0","1585"
"10.01.2021 11:00 - 10.01.2021 12:00","0","1629"
"10.01.2021 12:00 - 10.01.2021 13:00","0","1630"
"10.01.2021 13:00 - 10.01.2021 14:00","0","1612"
"10.01.2021 14:00 - 10.01.2021 15:00","0","1630"
"10.01.2021 15:00 - 10.01.2021 16:00","0","1631"
"10.01.2021 16:00 - 10.01.2021 17:00","0","1631"
"10.01.2021 17:00 - 10.01.2021 18:00","0","1631"
"10.01.2021 18:00 - 10.01.2021 19:00","0","1631"
"10.01.2021 19:00 - 10.01.2021 20:00","0","1631"
"10.01.2021 20:00 - 10.01.2021 21:00","0","1631"
"10.01.2021 21:00 - 10.01.2021 22:00","0","1617"
"10.01.2021 22:00 - 10.01.2021 23:00","0","1383"
