"Time (CET/CEST)","Denmark (DK) > Norway (NO) [MW]","Norway (NO) > Denmark (DK) [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","420"
"01.01.2020 01:00 - 01.01.2020 02:00","0","277"
"01.01.2020 02:00 - 01.01.2020 03:00","0","39"
"01.01.2020 03:00 - 01.01.2020 04:00","368","0"
"01.01.2020 04:00 - 01.01.2020 05:00","740","0"
"01.01.2020 05:00 - 01.01.2020 06:00","1187","0"
"01.01.2020 06:00 - 01.01.2020 07:00","1365","0"
"01.01.2020 07:00 - 01.01.2020 08:00","1297","0"
"01.01.2020 08:00 - 01.01.2020 09:00","985","0"
"01.01.2020 09:00 - 01.01.2020 10:00","1078","0"
"01.01.2020 10:00 - 01.01.2020 11:00","1364","0"
"01.01.2020 11:00 - 01.01.2020 12:00","1374","0"
"01.01.2020 12:00 - 01.01.2020 13:00","1358","0"
"01.01.2020 13:00 - 01.01.2020 14:00","1356","0"
"01.01.2020 14:00 - 01.01.2020 15:00","1141","0"
"01.01.2020 15:00 - 01.01.2020 16:00","1072","0"
"01.01.2020 16:00 - 01.01.2020 17:00","580","0"
"01.01.2020 17:00 - 01.01.2020 18:00","102","0"
"01.01.2020 18:00 - 01.01.2020 19:00","54","0"
"01.01.2020 19:00 - 01.01.2020 20:00","267","0"
"01.01.2020 20:00 - 01.01.2020 21:00","438","0"
"01.01.2020 21:00 - 01.01.2020 22:00","575","0"
"01.01.2020 22:00 - 01.01.2020 23:00","856","0"
"01.01.2020 23:00 - 02.01.2020 00:00","1081","0"
"02.01.2020 00:00 - 02.01.2020 01:00","762","0"
"02.01.2020 01:00 - 02.01.2020 02:00","832","0"
"02.01.2020 02:00 - 02.01.2020 03:00","1058","0"
"02.01.2020 03:00 - 02.01.2020 04:00","1193","0"
"02.01.2020 04:00 - 02.01.2020 05:00","1152","0"
"02.01.2020 05:00 - 02.01.2020 06:00","934","0"
"02.01.2020 06:00 - 02.01.2020 07:00","396","0"
"02.01.2020 07:00 - 02.01.2020 08:00","292","0"
"02.01.2020 08:00 - 02.01.2020 09:00","192","0"
"02.01.2020 09:00 - 02.01.2020 10:00","195","0"
"02.01.2020 10:00 - 02.01.2020 11:00","251","0"
"02.01.2020 11:00 - 02.01.2020 12:00","387","0"
"02.01.2020 12:00 - 02.01.2020 13:00","490","0"
"02.01.2020 13:00 - 02.01.2020 14:00","511","0"
"02.01.2020 14:00 - 02.01.2020 15:00","328","0"
"02.01.2020 15:00 - 02.01.2020 16:00","247","0"
"02.01.2020 16:00 - 02.01.2020 17:00","262","0"
"02.01.2020 17:00 - 02.01.2020 18:00","366","0"
"02.01.2020 18:00 - 02.01.2020 19:00","372","0"
"02.01.2020 19:00 - 02.01.2020 20:00","604","0"
