"Time (CET/CEST)","Finland (FI) > Norway (NO) [MW]","Norway (NO) > Finland (FI) [MW]"
"01.01.2020 00:00 - 01.01.2020 01:00","0","46"
"01.01.2020 01:00 - 01.01.2020 02:00","0","45"
"01.01.2020 02:00 - 01.01.2020 03:00","0","40"
"01.01.2020 03:00 - 01.01.2020 04:00","0","36"
"01.01.2020 04:00 - 01.01.2020 05:00","0","33"
"01.01.2020 05:00 - 01.01.2020 06:00","0","0"
"01.01.2020 06:00 - 01.01.2020 07:00","22","0"
"01.01.2020 07:00 - 01.01.2020 08:00","34","0"
"01.01.2020 08:00 - 01.01.2020 09:00","36","0"
"01.01.2020 09:00 - 01.01.2020 10:00","39","0"
"01.01.2020 10:00 - 01.01.2020 11:00","37","0"
"01.01.2020 11:00 - 01.01.2020 12:00","32","0"
"01.01.2020 12:00 - 01.01.2020 13:00","27","0"
"01.01.2020 13:00 - 01.01.2020 14:00","22","0"
"01.01.2020 14:00 - 01.01.2020 15:00","18","0"
"01.01.2020 15:00 - 01.01.2020 16:00","10","0"
"01.01.2020 16:00 - 01.01.2020 17:00","7","0"
"01.01.2020 17:00 - 01.01.2020 18:00","0","9"
"01.01.2020 18:00 - 01.01.2020 19:00","0","19"
"01.01.2020 19:00 - 01.01.2020 20:00","0","20"
"01.01.2020 20:00 - 01.01.2020 21:00","0","12"
"01.01.2020 21:00 - 01.01.2020 22:00","0","23"
"01.01.2020 22:00 - 01.01.2020 23:00","8","0"
"01.01.2020 23:00 - 02.01.2020 00:00","30","0"
"02.01.2020 00:00 - 02.01.2020 01:00","33","0"
"02.01.2020 01:00 - 02.01.2020 02:00","33","0"
"02.01.2020 02:00 - 02.01.2020 03:00","23","0"
"02.01.2020 03:00 - 02.01.2020 04:00","28","0"
"02.01.2020 04:00 - 02.01.2020 05:00","31","0"
"02.01.2020 05:00 - 02.01.2020 06:00","18","0"
"02.01.2020 06:00 - 02.01.2020 07:00","25","0"
"02.01.2020 07:00 - 02.01.2020 08:00","24","0"
"02.01.2020 08:00 - 02.01.2020 09:00","25","0"
"02.01.2020 09:00 - 02.01.2020 10:00","20","0"
"02.01.2020 10:00 - 02.01.2020 11:00","16","0"
"02.01.2020 11:00 - 02.01.2020 12:00","14","0"
"02.01.2020 12:00 - 02.01.2020 13:00","9","0"
"02.01.2020 13:00 - 02.01.2020 14:00","3","0"
"02.01.2020 14:00 - 02.01.2020 15:00","0","0"
"02.01.2020 15:00 - 02.01.2020 16:00","0","12"
"02.01.2020 16:00 - 02.01.2020 17:00","0","24"
"02.01.2020 17:00 - 02.01.2020 18:00","0","30"
"02.01.2020 18:00 - 02.01.2020 19:00","0","34"
"02.01.2020 19:00 - 02.01.2020 20:00","0","22"
"02.01.2020 20:00 - 02.01.2020 21:00","0","20"
"02.01.2020 21:00 - 02.01.2020 22:00","0","6"
"02.01.2020 22:00 - 02.01.2020 23:00","6","0"
"02.01.2020 23:00 - 03.01.2020 00:00","21","0"
"03.01.2020 00:00 - 03.01.2020 01:00","38","0"
"03.01.2020 01:00 - 03.01.2020 02:00","26","0"
"03.01.2020 02:00 - 03.01.2020 03:00","15","0"
"03.01.2020 03:00 - 03.01.2020 04:00","41","0"
"03.01.2020 04:00 - 03.01.2020 05:00","55","0"
"03.01.2020 05:00 - 03.01.2020 06:00","51","0"
"03.01.2020 06:00 - 03.01.2020 07:00","40","0"
"03.01.2020 07:00 - 03.01.2020 08:00","21","0"
"03.01.2020 08:00 - 03.01.2020 09:00","17","0"
"03.01.2020 09:00 - 03.01.2020 10:00","0","1"
"03.01.2020 10:00 - 03.01.2020 11:00","0","12"
"03.01.2020 11:00 - 03.01.2020 12:00","0","15"
"03.01.2020 12:00 - 03.01.2020 13:00","0","7"
"03.01.2020 13:00 - 03.01.2020 14:00","12","0"
"03.01.2020 14:00 - 03.01.2020 15:00","9","0"
"03.01.2020 15:00 - 03.01.2020 16:00","13","0"
"03.01.2020 16:00 - 03.01.2020 17:00","15","0"
"03.01.2020 17:00 - 03.01.2020 18:00","16","0"
"03.01.2020 18:00 - 03.01.2020 19:00","10","0"
"03.01.2020 19:00 - 03.01.2020 20:00","8","0"
"03.01.2020 20:00 - 03.01.2020 21:00","22","0"
"03.01.2020 21:00 - 03.01.2020 22:00","20","0"
"03.01.2020 22:00 - 03.01.2020 23:00","26","0"
"03.01.2020 23:00 - 04.01.2020 00:00","45","0"
"04.01.2020 00:00 - 04.01.2020 01:00","24","0"
"04.01.2020 01:00 - 04.01.2020 02:00","15","0"
"04.01.2020 02:00 - 04.01.2020 03:00","11","0"
"04.01.2020 03:00 - 04.01.2020 04:00","6","0"
"04.01.2020 04:00 - 04.01.2020 05:00","8","0"
"04.01.2020 05:00 - 04.01.2020 06:00","0","0"
"04.01.2020 06:00 - 04.01.2020 07:00","0","4"
"04.01.2020 07:00 - 04.01.2020 08:00","0","22"
"04.01.2020 08:00 - 04.01.2020 09:00","0","16"
"04.01.2020 09:00 - 04.01.2020 10:00","0","46"
"04.01.2020 10:00 - 04.01.2020 11:00","0","53"
"04.01.2020 11:00 - 04.01.2020 12:00","0","46"
"04.01.2020 12:00 - 04.01.2020 13:00","0","35"
"04.01.2020 13:00 - 04.01.2020 14:00","0","32"
"04.01.2020 14:00 - 04.01.2020 15:00","0","40"
"04.01.2020 15:00 - 04.01.2020 16:00","0","39"
"04.01.2020 16:00 - 04.01.2020 17:00","0","48"
"04.01.2020 17:00 - 04.01.2020 18:00","0","47"
"04.01.2020 18:00 - 04.01.2020 19:00","0","48"
"04.01.2020 19:00 - 04.01.2020 20:00","0","46"
"04.01.2020 20:00 - 04.01.2020 21:00","0","41"
"04.01.2020 21:00 - 04.01.2020 22:00","0","54"
"04.01.2020 22:00 - 04.01.2020 23:00","0","53"
"04.01.2020 23:00 - 05.01.2020 00:00","0","41"
"05.01.2020 00:00 - 05.01.2020 01:00","0","53"
"05.01.2020 01:00 - 05.01.2020 02:00","0","55"
"05.01.2020 02:00 - 05.01.2020 03:00","0","56"
"05.01.2020 03:00 - 05.01.2020 04:00","0","66"
"05.01.2020 04:00 - 05.01.2020 05:00","0","72"
"05.01.2020 05:00 - 05.01.2020 06:00","0","72"
"05.01.2020 06:00 - 05.01.2020 07:00","0","75"
"05.01.2020 07:00 - 05.01.2020 08:00","0","82"
"05.01.2020 08:00 - 05.01.2020 09:00","0","80"
"05.01.2020 09:00 - 05.01.2020 10:00","0","78"
"05.01.2020 10:00 - 05.01.2020 11:00","0","72"
"05.01.2020 11:00 - 05.01.2020 12:00","0","64"
"05.01.2020 12:00 - 05.01.2020 13:00","0","61"
"05.01.2020 13:00 - 05.01.2020 14:00","0","58"
"05.01.2020 14:00 - 05.01.2020 15:00","0","53"
"05.01.2020 15:00 - 05.01.2020 16:00","0","38"
"05.01.2020 16:00 - 05.01.2020 17:00","0","22"
"05.01.2020 17:00 - 05.01.2020 18:00","0","11"
"05.01.2020 18:00 - 05.01.2020 19:00","0","9"
"05.01.2020 19:00 - 05.01.2020 20:00","0","10"
"05.01.2020 20:00 - 05.01.2020 21:00","0","2"
"05.01.2020 21:00 - 05.01.2020 22:00","0","1"
"05.01.2020 22:00 - 05.01.2020 23:00","3","0"
"05.01.2020 23:00 - 06.01.2020 00:00","14","0"
"06.01.2020 00:00 - 06.01.2020 01:00","0","0"
"06.01.2020 01:00 - 06.01.2020 02:00","0","8"
"06.01.2020 02:00 - 06.01.2020 03:00","0","12"
"06.01.2020 03:00 - 06.01.2020 04:00","0","10"
"06.01.2020 04:00 - 06.01.2020 05:00","0","11"
"06.01.2020 05:00 - 06.01.2020 06:00","0","12"
"06.01.2020 06:00 - 06.01.2020 07:00","0","11"
"06.01.2020 07:00 - 06.01.2020 08:00","0","4"
"06.01.2020 08:00 - 06.01.2020 09:00","15","0"
"06.01.2020 09:00 - 06.01.2020 10:00","16","0"
"06.01.2020 10:00 - 06.01.2020 11:00","16","0"
"06.01.2020 11:00 - 06.01.2020 12:00","16","0"
