"Time (CET/CEST)","Netherlands (NL) > Norway (NO) [MW]","Norway (NO) > Netherlands (NL) [MW]"
"01.01.2023 00:00 - 01.01.2023 01:00","649","0"
"01.01.2023 01:00 - 01.01.2023 02:00","649","0"
"01.01.2023 02:00 - 01.01.2023 03:00","649","0"
"01.01.2023 03:00 - 01.01.2023 04:00","649","0"
"01.01.2023 04:00 - 01.01.2023 05:00","649","0"
"01.01.2023 05:00 - 01.01.2023 06:00","649","0"
"01.01.2023 06:00 - 01.01.2023 07:00","649","0"
"01.01.2023 07:00 - 01.01.2023 08:00","649","0"
"01.01.2023 08:00 - 01.01.2023 09:00","649","0"
"01.01.2023 09:00 - 01.01.2023 10:00","649","0"
"01.01.2023 10:00 - 01.01.2023 11:00","649","0"
"01.01.2023 11:00 - 01.01.2023 12:00","649","0"
"01.01.2023 12:00 - 01.01.2023 13:00","649","0"
"01.01.2023 13:00 - 01.01.2023 14:00","649","0"
"01.01.2023 14:00 - 01.01.2023 15:00","648","0"
"01.01.2023 15:00 - 01.01.2023 16:00","613","0"
"01.01.2023 16:00 - 01.01.2023 17:00","399","0"
"01.01.2023 17:00 - 01.01.2023 18:00","89","0"
"01.01.2023 18:00 - 01.01.2023 19:00","0","0"
"01.01.2023 19:00 - 01.01.2023 20:00","0","0"
"01.01.2023 20:00 - 01.01.2023 21:00","11","0"
"01.01.2023 21:00 - 01.01.2023 22:00","278","0"
"01.01.2023 22:00 - 01.01.2023 23:00","593","0"
"01.01.2023 23:00 - 02.01.2023 00:00","649","0"
"02.01.2023 00:00 - 02.01.2023 01:00","649","0"
"02.01.2023 01:00 - 02.01.2023 02:00","649","0"
"02.01.2023 02:00 - 02.01.2023 03:00","649","0"
"02.01.2023 03:00 - 02.01.2023 04:00","649","0"
"02.01.2023 04:00 - 02.01.2023 05:00","649","0"
"02.01.2023 05:00 - 02.01.2023 06:00","635","0"
"02.01.2023 06:00 - 02.01.2023 07:00","306","0"
"02.01.2023 07:00 - 02.01.2023 08:00","0","13"
"02.01.2023 08:00 - 02.01.2023 09:00","0","326"
"02.01.2023 09:00 - 02.01.2023 10:00","0","608"
"02.01.2023 10:00 - 02.01.2023 11:00","0","349"
"02.01.2023 11:00 - 02.01.2023 12:00","0","619"
"02.01.2023 12:00 - 02.01.2023 13:00","0","577"
"02.01.2023 13:00 - 02.01.2023 14:00","0","307"
"02.01.2023 14:00 - 02.01.2023 15:00","0","432"
"02.01.2023 15:00 - 02.01.2023 16:00","0","511"
"02.01.2023 16:00 - 02.01.2023 17:00","0","536"
"02.01.2023 17:00 - 02.01.2023 18:00","0","620"
"02.01.2023 18:00 - 02.01.2023 19:00","0","619"
"02.01.2023 19:00 - 02.01.2023 20:00","0","619"
"02.01.2023 20:00 - 02.01.2023 21:00","0","617"
"02.01.2023 21:00 - 02.01.2023 22:00","0","554"
"02.01.2023 22:00 - 02.01.2023 23:00","0","256"
"02.01.2023 23:00 - 03.01.2023 00:00","0","0"
"03.01.2023 00:00 - 03.01.2023 01:00","13","0"
"03.01.2023 01:00 - 03.01.2023 02:00","293","0"
"03.01.2023 02:00 - 03.01.2023 03:00","0","0"
"03.01.2023 03:00 - 03.01.2023 04:00","132","0"
"03.01.2023 04:00 - 03.01.2023 05:00","386","0"
"03.01.2023 05:00 - 03.01.2023 06:00","300","0"
"03.01.2023 06:00 - 03.01.2023 07:00","0","0"
"03.01.2023 07:00 - 03.01.2023 08:00","0","0"
"03.01.2023 08:00 - 03.01.2023 09:00","0","0"
"03.01.2023 09:00 - 03.01.2023 10:00","0","0"
"03.01.2023 10:00 - 03.01.2023 11:00","0","0"
"03.01.2023 11:00 - 03.01.2023 12:00","0","0"
"03.01.2023 12:00 - 03.01.2023 13:00","0","0"
"03.01.2023 13:00 - 03.01.2023 14:00","0","0"
"03.01.2023 14:00 - 03.01.2023 15:00","0","0"
"03.01.2023 15:00 - 03.01.2023 16:00","0","0"
"03.01.2023 16:00 - 03.01.2023 17:00","149","0"
"03.01.2023 17:00 - 03.01.2023 18:00","0","0"
"03.01.2023 18:00 - 03.01.2023 19:00","13","0"
"03.01.2023 19:00 - 03.01.2023 20:00","308","0"
"03.01.2023 20:00 - 03.01.2023 21:00","82","0"
"03.01.2023 21:00 - 03.01.2023 22:00","234","0"
"03.01.2023 22:00 - 03.01.2023 23:00","541","0"
"03.01.2023 23:00 - 04.01.2023 00:00","649","0"
"04.01.2023 00:00 - 04.01.2023 01:00","649","0"
"04.01.2023 01:00 - 04.01.2023 02:00","649","0"
"04.01.2023 02:00 - 04.01.2023 03:00","649","0"
"04.01.2023 03:00 - 04.01.2023 04:00","649","0"
"04.01.2023 04:00 - 04.01.2023 05:00","649","0"
"04.01.2023 05:00 - 04.01.2023 06:00","643","0"
"04.01.2023 06:00 - 04.01.2023 07:00","489","0"
"04.01.2023 07:00 - 04.01.2023 08:00","164","0"
"04.01.2023 08:00 - 04.01.2023 09:00","0","149"
"04.01.2023 09:00 - 04.01.2023 10:00","0","450"
"04.01.2023 10:00 - 04.01.2023 11:00","0","495"
"04.01.2023 11:00 - 04.01.2023 12:00","0","191"
"04.01.2023 12:00 - 04.01.2023 13:00","0","0"
"04.01.2023 13:00 - 04.01.2023 14:00","9","0"
"04.01.2023 14:00 - 04.01.2023 15:00","229","0"
"04.01.2023 15:00 - 04.01.2023 16:00","0","14"
"04.01.2023 16:00 - 04.01.2023 17:00","0","322"
"04.01.2023 17:00 - 04.01.2023 18:00","0","606"
"04.01.2023 18:00 - 04.01.2023 19:00","0","582"
"04.01.2023 19:00 - 04.01.2023 20:00","0","488"
"04.01.2023 20:00 - 04.01.2023 21:00","0","224"
"04.01.2023 21:00 - 04.01.2023 22:00","0","32"
"04.01.2023 22:00 - 04.01.2023 23:00","281","0"
"04.01.2023 23:00 - 05.01.2023 00:00","434","0"
"05.01.2023 00:00 - 05.01.2023 01:00","434","0"
"05.01.2023 01:00 - 05.01.2023 02:00","434","0"
"05.01.2023 02:00 - 05.01.2023 03:00","434","0"
"05.01.2023 03:00 - 05.01.2023 04:00","434","0"
"05.01.2023 04:00 - 05.01.2023 05:00","434","0"
"05.01.2023 05:00 - 05.01.2023 06:00","429","0"
"05.01.2023 06:00 - 05.01.2023 07:00","304","0"
"05.01.2023 07:00 - 05.01.2023 08:00","0","13"
"05.01.2023 08:00 - 05.01.2023 09:00","0","317"
"05.01.2023 09:00 - 05.01.2023 10:00","0","422"
"05.01.2023 10:00 - 05.01.2023 11:00","0","421"
"05.01.2023 11:00 - 05.01.2023 12:00","0","422"
"05.01.2023 12:00 - 05.01.2023 13:00","0","416"
"05.01.2023 13:00 - 05.01.2023 14:00","0","276"
"05.01.2023 14:00 - 05.01.2023 15:00","0","228"
"05.01.2023 15:00 - 05.01.2023 16:00","0","67"
"05.01.2023 16:00 - 05.01.2023 17:00","0","211"
"05.01.2023 17:00 - 05.01.2023 18:00","0","413"
"05.01.2023 18:00 - 05.01.2023 19:00","0","194"
"05.01.2023 19:00 - 05.01.2023 20:00","0","11"
"05.01.2023 20:00 - 05.01.2023 21:00","0","234"
"05.01.2023 21:00 - 05.01.2023 22:00","0","0"
"05.01.2023 22:00 - 05.01.2023 23:00","0","0"
"05.01.2023 23:00 - 06.01.2023 00:00","0","0"
"06.01.2023 00:00 - 06.01.2023 01:00","0","0"
"06.01.2023 01:00 - 06.01.2023 02:00","6","0"
"06.01.2023 02:00 - 06.01.2023 03:00","155","0"
"06.01.2023 03:00 - 06.01.2023 04:00","433","0"
"06.01.2023 04:00 - 06.01.2023 05:00","416","0"
"06.01.2023 05:00 - 06.01.2023 06:00","425","0"
"06.01.2023 06:00 - 06.01.2023 07:00","327","0"
"06.01.2023 07:00 - 06.01.2023 08:00","15","0"
"06.01.2023 08:00 - 06.01.2023 09:00","0","289"
"06.01.2023 09:00 - 06.01.2023 10:00","0","422"
"06.01.2023 10:00 - 06.01.2023 11:00","0","422"
"06.01.2023 11:00 - 06.01.2023 12:00","0","418"
"06.01.2023 12:00 - 06.01.2023 13:00","0","336"
"06.01.2023 13:00 - 06.01.2023 14:00","0","422"
"06.01.2023 14:00 - 06.01.2023 15:00","0","422"
"06.01.2023 15:00 - 06.01.2023 16:00","0","422"
"06.01.2023 16:00 - 06.01.2023 17:00","0","422"
"06.01.2023 17:00 - 06.01.2023 18:00","0","422"
"06.01.2023 18:00 - 06.01.2023 19:00","0","422"
"06.01.2023 19:00 - 06.01.2023 20:00","0","422"
"06.01.2023 20:00 - 06.01.2023 21:00","0","413"
"06.01.2023 21:00 - 06.01.2023 22:00","0","219"
"06.01.2023 22:00 - 06.01.2023 23:00","0","184"
"06.01.2023 23:00 - 07.01.2023 00:00","13","0"
"07.01.2023 00:00 - 07.01.2023 01:00","321","0"
"07.01.2023 01:00 - 07.01.2023 02:00","434","0"
"07.01.2023 02:00 - 07.01.2023 03:00","434","0"
"07.01.2023 03:00 - 07.01.2023 04:00","434","0"
"07.01.2023 04:00 - 07.01.2023 05:00","434","0"
"07.01.2023 05:00 - 07.01.2023 06:00","434","0"
"07.01.2023 06:00 - 07.01.2023 07:00","434","0"
"07.01.2023 07:00 - 07.01.2023 08:00","433","0"
"07.01.2023 08:00 - 07.01.2023 09:00","391","0"
"07.01.2023 09:00 - 07.01.2023 10:00","94","0"
"07.01.2023 10:00 - 07.01.2023 11:00","322","0"
"07.01.2023 11:00 - 07.01.2023 12:00","337","0"
"07.01.2023 12:00 - 07.01.2023 13:00","434","0"
"07.01.2023 13:00 - 07.01.2023 14:00","434","0"
"07.01.2023 14:00 - 07.01.2023 15:00","434","0"
"07.01.2023 15:00 - 07.01.2023 16:00","434","0"
"07.01.2023 16:00 - 07.01.2023 17:00","429","0"
