"Time (CET/CEST)","Sweden (SE) > Norway (NO) [MW]","Norway (NO) > Sweden (SE) [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","499","0"
"01.01.2022 01:00 - 01.01.2022 02:00","542","0"
"01.01.2022 02:00 - 01.01.2022 03:00","368","0"
"01.01.2022 03:00 - 01.01.2022 04:00","286","0"
"01.01.2022 04:00 - 01.01.2022 05:00","566","0"
"01.01.2022 05:00 - 01.01.2022 06:00","507","0"
"01.01.2022 06:00 - 01.01.2022 07:00","735","0"
"01.01.2022 07:00 - 01.01.2022 08:00","838","0"
"01.01.2022 08:00 - 01.01.2022 09:00","545","0"
"01.01.2022 09:00 - 01.01.2022 10:00","49","0"
"01.01.2022 10:00 - 01.01.2022 11:00","0","208"
"01.01.2022 11:00 - 01.01.2022 12:00","0","325"
"01.01.2022 12:00 - 01.01.2022 13:00","0","299"
"01.01.2022 13:00 - 01.01.2022 14:00","0","71"
"01.01.2022 14:00 - 01.01.2022 15:00","0","194"
"01.01.2022 15:00 - 01.01.2022 16:00","0","283"
"01.01.2022 16:00 - 01.01.2022 17:00","36","0"
"01.01.2022 17:00 - 01.01.2022 18:00","187","0"
"01.01.2022 18:00 - 01.01.2022 19:00","346","0"
"01.01.2022 19:00 - 01.01.2022 20:00","822","0"
"01.01.2022 20:00 - 01.01.2022 21:00","839","0"
"01.01.2022 21:00 - 01.01.2022 22:00","855","0"
"01.01.2022 22:00 - 01.01.2022 23:00","737","0"
"01.01.2022 23:00 - 02.01.2022 00:00","228","0"
"02.01.2022 00:00 - 02.01.2022 01:00","484","0"
"02.01.2022 01:00 - 02.01.2022 02:00","366","0"
"02.01.2022 02:00 - 02.01.2022 03:00","523","0"
"02.01.2022 03:00 - 02.01.2022 04:00","752","0"
"02.01.2022 04:00 - 02.01.2022 05:00","1087","0"
"02.01.2022 05:00 - 02.01.2022 06:00","1356","0"
"02.01.2022 06:00 - 02.01.2022 07:00","1447","0"
"02.01.2022 07:00 - 02.01.2022 08:00","854","0"
"02.01.2022 08:00 - 02.01.2022 09:00","772","0"
"02.01.2022 09:00 - 02.01.2022 10:00","868","0"
"02.01.2022 10:00 - 02.01.2022 11:00","439","0"
"02.01.2022 11:00 - 02.01.2022 12:00","247","0"
"02.01.2022 12:00 - 02.01.2022 13:00","188","0"
"02.01.2022 13:00 - 02.01.2022 14:00","0","161"
"02.01.2022 14:00 - 02.01.2022 15:00","0","201"
"02.01.2022 15:00 - 02.01.2022 16:00","0","243"
"02.01.2022 16:00 - 02.01.2022 17:00","0","261"
"02.01.2022 17:00 - 02.01.2022 18:00","43","0"
"02.01.2022 18:00 - 02.01.2022 19:00","0","242"
"02.01.2022 19:00 - 02.01.2022 20:00","0","302"
"02.01.2022 20:00 - 02.01.2022 21:00","0","253"
"02.01.2022 21:00 - 02.01.2022 22:00","0","617"
"02.01.2022 22:00 - 02.01.2022 23:00","0","1057"
"02.01.2022 23:00 - 03.01.2022 00:00","0","465"
"03.01.2022 00:00 - 03.01.2022 01:00","869","0"
"03.01.2022 01:00 - 03.01.2022 02:00","1458","0"
"03.01.2022 02:00 - 03.01.2022 03:00","1609","0"
"03.01.2022 03:00 - 03.01.2022 04:00","1402","0"
"03.01.2022 04:00 - 03.01.2022 05:00","1313","0"
"03.01.2022 05:00 - 03.01.2022 06:00","536","0"
"03.01.2022 06:00 - 03.01.2022 07:00","0","434"
"03.01.2022 07:00 - 03.01.2022 08:00","0","728"
"03.01.2022 08:00 - 03.01.2022 09:00","0","851"
"03.01.2022 09:00 - 03.01.2022 10:00","0","697"
"03.01.2022 10:00 - 03.01.2022 11:00","0","637"
"03.01.2022 11:00 - 03.01.2022 12:00","0","877"
"03.01.2022 12:00 - 03.01.2022 13:00","0","732"
"03.01.2022 13:00 - 03.01.2022 14:00","0","784"
"03.01.2022 14:00 - 03.01.2022 15:00","0","879"
"03.01.2022 15:00 - 03.01.2022 16:00","0","891"
"03.01.2022 16:00 - 03.01.2022 17:00","0","780"
"03.01.2022 17:00 - 03.01.2022 18:00","0","656"
"03.01.2022 18:00 - 03.01.2022 19:00","0","479"
"03.01.2022 19:00 - 03.01.2022 20:00","0","566"
"03.01.2022 20:00 - 03.01.2022 21:00","0","313"
"03.01.2022 21:00 - 03.01.2022 22:00","0","218"
"03.01.2022 22:00 - 03.01.2022 23:00","0","230"
"03.01.2022 23:00 - 04.01.2022 00:00","0","90"
"04.01.2022 00:00 - 04.01.2022 01:00","0","501"
"04.01.2022 01:00 - 04.01.2022 02:00","0","472"
"04.01.2022 02:00 - 04.01.2022 03:00","0","679"
