"Time (CET/CEST)","United Kingdom (UK) > Norway (NO) [MW]","Norway (NO) > United Kingdom (UK) [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","0","259"
"01.01.2022 01:00 - 01.01.2022 02:00","0","188"
"01.01.2022 02:00 - 01.01.2022 03:00","247","0"
"01.01.2022 03:00 - 01.01.2022 04:00","676","0"
"01.01.2022 04:00 - 01.01.2022 05:00","676","0"
"01.01.2022 05:00 - 01.01.2022 06:00","675","0"
"01.01.2022 06:00 - 01.01.2022 07:00","675","0"
"01.01.2022 07:00 - 01.01.2022 08:00","676","0"
"01.01.2022 08:00 - 01.01.2022 09:00","693","0"
"01.01.2022 09:00 - 01.01.2022 10:00","694","0"
"01.01.2022 10:00 - 01.01.2022 11:00","694","0"
"01.01.2022 11:00 - 01.01.2022 12:00","694","0"
"01.01.2022 12:00 - 01.01.2022 13:00","690","0"
"01.01.2022 13:00 - 01.01.2022 14:00","592","0"
"01.01.2022 14:00 - 01.01.2022 15:00","175","0"
"01.01.2022 15:00 - 01.01.2022 16:00","68","0"
"01.01.2022 16:00 - 01.01.2022 17:00","0","211"
"01.01.2022 17:00 - 01.01.2022 18:00","0","636"
"01.01.2022 18:00 - 01.01.2022 19:00","0","692"
"01.01.2022 19:00 - 01.01.2022 20:00","0","694"
"01.01.2022 20:00 - 01.01.2022 21:00","0","679"
"01.01.2022 21:00 - 01.01.2022 22:00","0","401"
"01.01.2022 22:00 - 01.01.2022 23:00","43","0"
"01.01.2022 23:00 - 02.01.2022 00:00","481","0"
"02.01.2022 00:00 - 02.01.2022 01:00","686","0"
"02.01.2022 01:00 - 02.01.2022 02:00","694","0"
"02.01.2022 02:00 - 02.01.2022 03:00","694","0"
"02.01.2022 03:00 - 02.01.2022 04:00","694","0"
"02.01.2022 04:00 - 02.01.2022 05:00","694","0"
"02.01.2022 05:00 - 02.01.2022 06:00","694","0"
"02.01.2022 06:00 - 02.01.2022 07:00","694","0"
"02.01.2022 07:00 - 02.01.2022 08:00","694","0"
"02.01.2022 08:00 - 02.01.2022 09:00","694","0"
"02.01.2022 09:00 - 02.01.2022 10:00","694","0"
"02.01.2022 10:00 - 02.01.2022 11:00","677","0"
"02.01.2022 11:00 - 02.01.2022 12:00","350","0"
"02.01.2022 12:00 - 02.01.2022 13:00","680","0"
"02.01.2022 13:00 - 02.01.2022 14:00","694","0"
"02.01.2022 14:00 - 02.01.2022 15:00","686","0"
"02.01.2022 15:00 - 02.01.2022 16:00","524","0"
"02.01.2022 16:00 - 02.01.2022 17:00","347","0"
"02.01.2022 17:00 - 02.01.2022 18:00","0","93"
"02.01.2022 18:00 - 02.01.2022 19:00","0","503"
"02.01.2022 19:00 - 02.01.2022 20:00","0","111"
"02.01.2022 20:00 - 02.01.2022 21:00","334","0"
"02.01.2022 21:00 - 02.01.2022 22:00","674","0"
"02.01.2022 22:00 - 02.01.2022 23:00","573","0"
"02.01.2022 23:00 - 03.01.2022 00:00","689","0"
"03.01.2022 00:00 - 03.01.2022 01:00","694","0"
"03.01.2022 01:00 - 03.01.2022 02:00","694","0"
"03.01.2022 02:00 - 03.01.2022 03:00","694","0"
"03.01.2022 03:00 - 03.01.2022 04:00","694","0"
"03.01.2022 04:00 - 03.01.2022 05:00","694","0"
"03.01.2022 05:00 - 03.01.2022 06:00","694","0"
"03.01.2022 06:00 - 03.01.2022 07:00","694","0"
"03.01.2022 07:00 - 03.01.2022 08:00","694","0"
"03.01.2022 08:00 - 03.01.2022 09:00","693","0"
"03.01.2022 09:00 - 03.01.2022 10:00","678","0"
"03.01.2022 10:00 - 03.01.2022 11:00","693","0"
"03.01.2022 11:00 - 03.01.2022 12:00","694","0"
"03.01.2022 12:00 - 03.01.2022 13:00","690","0"
"03.01.2022 13:00 - 03.01.2022 14:00","609","0"
"03.01.2022 14:00 - 03.01.2022 15:00","477","0"
"03.01.2022 15:00 - 03.01.2022 16:00","609","0"
"03.01.2022 16:00 - 03.01.2022 17:00","189","0"
"03.01.2022 17:00 - 03.01.2022 18:00","0","248"
"03.01.2022 18:00 - 03.01.2022 19:00","0","672"
"03.01.2022 19:00 - 03.01.2022 20:00","0","603"
"03.01.2022 20:00 - 03.01.2022 21:00","0","623"
"03.01.2022 21:00 - 03.01.2022 22:00","0","351"
"03.01.2022 22:00 - 03.01.2022 23:00","0","212"
"03.01.2022 23:00 - 04.01.2022 00:00","185","0"
"04.01.2022 00:00 - 04.01.2022 01:00","0","231"
"04.01.2022 01:00 - 04.01.2022 02:00","0","661"
"04.01.2022 02:00 - 04.01.2022 03:00","0","673"
"04.01.2022 03:00 - 04.01.2022 04:00","0","241"
"04.01.2022 04:00 - 04.01.2022 05:00","180","0"
"04.01.2022 05:00 - 04.01.2022 06:00","0","12"
"04.01.2022 06:00 - 04.01.2022 07:00","0","444"
"04.01.2022 07:00 - 04.01.2022 08:00","0","685"
"04.01.2022 08:00 - 04.01.2022 09:00","0","694"
"04.01.2022 09:00 - 04.01.2022 10:00","0","694"
"04.01.2022 10:00 - 04.01.2022 11:00","0","694"
"04.01.2022 11:00 - 04.01.2022 12:00","0","692"
"04.01.2022 12:00 - 04.01.2022 13:00","0","644"
"04.01.2022 13:00 - 04.01.2022 14:00","0","559"
"04.01.2022 14:00 - 04.01.2022 15:00","0","467"
