Uke,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
1,59.60%,62.20%,49.60%,76.00%,67.60%,63.00%,60.00%,55.10%,60.60%,67.60%
2,54.90%,60.00%,46.30%,69.80%,64.80%,60.10%,54.80%,51.60%,55.50%,63.60%
3,50.40%,55.40%,43.00%,65.50%,62.60%,55.90%,50.50%,47.00%,49.90%,59.90%
4,47.30%,51.20%,40.20%,59.80%,60.00%,50.60%,46.00%,42.20%,47.00%,55.10%
5,44.20%,47.20%,36.50%,53.90%,57.10%,45.70%,41.30%,36.70%,43.50%,50.90%
6,39.90%,43.10%,33.30%,47.80%,52.90%,41.20%,36.80%,32.00%,39.60%,45.50%
7,35.80%,38.80%,30.50%,43.50%,49.80%,36.30%,32.70%,27.60%,33.90%,40.40%
8,32.30%,35.40%,26.70%,39.40%,47.80%,31.30%,28.40%,24.10%,29.30%,35.50%
9,29.00%,31.10%,22.50%,35.10%,43.30%,26.80%,23.50%,21.30%,25.10%,31.70%
10,25.90%,26.30%,19.00%,31.10%,38.60%,23.10%,19.60%,17.90%,21.30%,28.60%
11,22.70%,22.60%,16.00%,26.50%,34.50%,19.60%,15.90%,15.80%,18.90%,25.40%
12,19.50%,19.90%,13.30%,23.20%,29.60%,17.10%,12.60%,13.70%,17.10%,21.80%
13,17.40%,16.00%,11.40%,21.90%,25.60%,15.90%,9.90%,13.60%,16.70%,18.50%
14,16.00%,12.30%,9.70%,20.10%,21.80%,14.50%,8.20%,14.20%,16.60%,15.50%
15,20.10%,13.00%,8.10%,17.80%,19.30%,12.50%,7.00%,14.50%,16.10%,13.80%
16,21.00%,15.00%,9.90%,17.30%,17.90%,12.30%,11.00%,13.90%,16.20%,13.50%
17,19.00%,16.10%,12.00%,15.70%,19.60%,22.70%,16.90%,13.50%,16.20%,16.50%
18,,15.20%,13.70%,15.10%,20.20%,35.60%,22.30%,16.20%,19.20%,17.60%
19,,21.00%,17.50%,25.60%,21.00%,38.80%,50.80%,19.90%,29.40%,23.50%
20,,37.10%,22.70%,41.30%,20.90%,44.30%,62.50%,37.40%,36.60%,29.90%
21,,52.70%,33.30%,52.40%,24.40%,62.50%,67.00%,51.40%,51.20%,34.20%
22,,59.60%,41.80%,61.60%,35.50%,66.00%,71.50%,59.10%,63.30%,39.60%
23,,65.90%,49.10%,67.50%,55.00%,75.70%,72.20%,71.50%,67.10%,45.60%
24,,72.20%,53.60%,71.70%,68.40%,80.00%,73.70%,76.30%,69.70%,50.60%
25,,77.80%,57.30%,75.20%,80.40%,80.80%,74.10%,76.90%,73.20%,54.10%
26,,80.20%,65.10%,75.30%,87.90%,80.50%,74.00%,76.80%,78.10%,60.20%
27,,82.30%,66.90%,77.20%,89.50%,80.60%,73.60%,76.70%,78.70%,69.10%
28,,85.70%,66.60%,77.80%,89.80%,79.50%,73.10%,77.50%,80.30%,77.80%
29,,86.70%,66.90%,77.00%,90.80%,79.60%,72.80%,77.70%,81.20%,82.00%
30,,91.10%,67.40%,80.00%,90.60%,80.50%,72.50%,79.60%,83.20%,84.00%
31,,89.40%,68.50%,80.00%,94.10%,80.00%,72.70%,82.80%,84.50%,85.90%
32,,102.00%,67.70%,79.80%,94.80%,79.90%,74.80%,84.50%,86.50%,88.30%
33,,99.80%,68.60%,79.90%,93.90%,84.60%,77.00%,86.40%,86.80%,88.30%
34,,101.50%,67.80%,78.60%,93.80%,85.80%,77.80%,85.70%,88.20%,88.00%
35,,98.60%,67.10%,76.20%,92.90%,86.30%,77.80%,84.00%,89.10%,92.20%
36,,95.10%,66.30%,73.80%,91.40%,88.10%,78.30%,84.90%,88.60%,96.00%
37,,92.20%,68.50%,72.10%,91.20%,88.00%,83.30%,89.30%,88.40%,94.20%
38,,96.50%,68.80%,70.70%,91.80%,87.30%,86.40%,89.50%,86.90%,99.80%
39,,95.80%,76.10%,76.10%,94.00%,87.20%,87.60%,88.30%,87.80%,98.40%
40,,93.90%,79.30%,80.80%,94.90%,87.90%,86.80%,91.80%,87.20%,95.70%
41,,93.80%,81.00%,80.30%,98.80%,87.10%,89.00%,90.80%,85.20%,93.20%
42,,92.10%,81.30%,80.00%,97.00%,88.30%,89.80%,89.90%,83.30%,90.30%
43,,89.60%,81.90%,81.10%,96.70%,89.60%,88.10%,88.90%,81.20%,87.80%
44,,87.80%,85.10%,82.70%,98.00%,88.60%,86.60%,87.00%,79.60%,85.00%
45,,85.80%,88.90%,80.20%,99.70%,84.90%,86.20%,85.50%,75.70%,83.20%
46,,82.90%,87.10%,78.40%,97.40%,82.60%,88.40%,83.30%,74.20%,81.90%
47,,79.90%,84.30%,74.30%,99.50%,82.30%,84.70%,81.00%,72.90%,78.50%
48,,75.50%,80.90%,69.40%,97.20%,80.50%,80.90%,77.20%,69.60%,75.50%
49,,71.50%,75.80%,64.40%,94.60%,78.60%,78.00%,74.20%,67.10%,73.80%
50,,68.20%,70.60%,60.60%,91.60%,76.30%,73.00%,69.20%,62.90%,71.90%
51,,66.10%,67.50%,56.60%,88.80%,73.20%,69.00%,65.70%,61.10%,68.40%
52,,63.60%,65.20%,53.90%,86.20%,69.90%,66.30%,63.70%,59.40%,68.00%
53,,,,,82.10%,,,,,65.40%
