"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO1","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","741","1769","n/e","n/e","n/e","n/e","n/e","6","n/e","0"
"BZN|NO1","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","741","1758","n/e","n/e","n/e","n/e","n/e","6","n/e","2"
"BZN|NO1","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","741","1754","n/e","n/e","n/e","n/e","n/e","6","n/e","2"
"BZN|NO1","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","740","1740","n/e","n/e","n/e","n/e","n/e","6","n/e","3"
"BZN|NO1","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","740","1736","n/e","n/e","n/e","n/e","n/e","6","n/e","5"
"BZN|NO1","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","742","1732","n/e","n/e","n/e","n/e","n/e","6","n/e","7"
"BZN|NO1","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","742","1745","n/e","n/e","n/e","n/e","n/e","6","n/e","8"
"BZN|NO1","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","745","1771","n/e","n/e","n/e","n/e","n/e","6","n/e","9"
"BZN|NO1","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","1804","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","1941","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2006","n/e","n/e","n/e","n/e","n/e","6","n/e","13"
"BZN|NO1","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","753","2016","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","753","2024","n/e","n/e","n/e","n/e","n/e","6","n/e","13"
"BZN|NO1","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","752","2029","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2056","n/e","n/e","n/e","n/e","n/e","6","n/e","5"
"BZN|NO1","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","751","2096","n/e","n/e","n/e","n/e","n/e","6","n/e","8"
"BZN|NO1","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","751","2113","n/e","n/e","n/e","n/e","n/e","6","n/e","8"
"BZN|NO1","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2113","n/e","n/e","n/e","n/e","n/e","6","n/e","7"
"BZN|NO1","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2109","n/e","n/e","n/e","n/e","n/e","6","n/e","10"
"BZN|NO1","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","749","2054","n/e","n/e","n/e","n/e","n/e","6","n/e","9"
"BZN|NO1","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2043","n/e","n/e","n/e","n/e","n/e","6","n/e","9"
"BZN|NO1","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","749","2045","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","2026","n/e","n/e","n/e","n/e","n/e","6","n/e","15"
"BZN|NO1","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","750","1982","n/e","n/e","n/e","n/e","n/e","6","n/e","14"
"BZN|NO1","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","753","1910","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","756","1770","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","754","1771","n/e","n/e","n/e","n/e","n/e","6","n/e","12"
"BZN|NO1","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","751","1780","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","752","1773","n/e","n/e","n/e","n/e","n/e","6","n/e","7"
"BZN|NO1","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","752","1840","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
"BZN|NO1","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","751","1974","n/e","n/e","n/e","n/e","n/e","6","n/e","11"
