"Time (CET/CEST)","Denmark (DK) > Norway (NO) [MW]","Norway (NO) > Denmark (DK) [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","1091","0"
"01.01.2022 01:00 - 01.01.2022 02:00","1091","0"
"01.01.2022 02:00 - 01.01.2022 03:00","1091","0"
"01.01.2022 03:00 - 01.01.2022 04:00","1091","0"
"01.01.2022 04:00 - 01.01.2022 05:00","1091","0"
"01.01.2022 05:00 - 01.01.2022 06:00","1092","0"
"01.01.2022 06:00 - 01.01.2022 07:00","1092","0"
"01.01.2022 07:00 - 01.01.2022 08:00","1091","0"
"01.01.2022 08:00 - 01.01.2022 09:00","1091","0"
"01.01.2022 09:00 - 01.01.2022 10:00","1091","0"
"01.01.2022 10:00 - 01.01.2022 11:00","1091","0"
"01.01.2022 11:00 - 01.01.2022 12:00","1091","0"
"01.01.2022 12:00 - 01.01.2022 13:00","1091","0"
"01.01.2022 13:00 - 01.01.2022 14:00","1091","0"
"01.01.2022 14:00 - 01.01.2022 15:00","1091","0"
"01.01.2022 15:00 - 01.01.2022 16:00","1090","0"
"01.01.2022 16:00 - 01.01.2022 17:00","1086","0"
"01.01.2022 17:00 - 01.01.2022 18:00","1029","0"
"01.01.2022 18:00 - 01.01.2022 19:00","1077","0"
"01.01.2022 19:00 - 01.01.2022 20:00","1086","0"
"01.01.2022 20:00 - 01.01.2022 21:00","1088","0"
"01.01.2022 21:00 - 01.01.2022 22:00","1089","0"
"01.01.2022 22:00 - 01.01.2022 23:00","1089","0"
"01.01.2022 23:00 - 02.01.2022 00:00","1089","0"
"02.01.2022 00:00 - 02.01.2022 01:00","1089","0"
"02.01.2022 01:00 - 02.01.2022 02:00","1089","0"
"02.01.2022 02:00 - 02.01.2022 03:00","1089","0"
"02.01.2022 03:00 - 02.01.2022 04:00","1089","0"
"02.01.2022 04:00 - 02.01.2022 05:00","1089","0"
"02.01.2022 05:00 - 02.01.2022 06:00","1089","0"
"02.01.2022 06:00 - 02.01.2022 07:00","1088","0"
"02.01.2022 07:00 - 02.01.2022 08:00","1088","0"
"02.01.2022 08:00 - 02.01.2022 09:00","1088","0"
"02.01.2022 09:00 - 02.01.2022 10:00","1088","0"
"02.01.2022 10:00 - 02.01.2022 11:00","1088","0"
"02.01.2022 11:00 - 02.01.2022 12:00","1088","0"
"02.01.2022 12:00 - 02.01.2022 13:00","1088","0"
"02.01.2022 13:00 - 02.01.2022 14:00","1069","0"
"02.01.2022 14:00 - 02.01.2022 15:00","830","0"
"02.01.2022 15:00 - 02.01.2022 16:00","1069","0"
"02.01.2022 16:00 - 02.01.2022 17:00","1082","0"
"02.01.2022 17:00 - 02.01.2022 18:00","894","0"
"02.01.2022 18:00 - 02.01.2022 19:00","1074","0"
"02.01.2022 19:00 - 02.01.2022 20:00","1090","0"
"02.01.2022 20:00 - 02.01.2022 21:00","1090","0"
"02.01.2022 21:00 - 02.01.2022 22:00","1090","0"
"02.01.2022 22:00 - 02.01.2022 23:00","1090","0"
"02.01.2022 23:00 - 03.01.2022 00:00","1090","0"
"03.01.2022 00:00 - 03.01.2022 01:00","1090","0"
