"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Denmark (DK)","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","258","n/e","n/e","114","231","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","120","1097","887"
"Denmark (DK)","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","286","n/e","n/e","110","223","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","1260","1233"
"Denmark (DK)","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","335","n/e","n/e","118","230","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","119","1084","1287"
"Denmark (DK)","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","367","n/e","n/e","117","228","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","978","1309"
"Denmark (DK)","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","352","n/e","n/e","115","231","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","789","1375"
"Denmark (DK)","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","374","n/e","n/e","115","226","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","804","1345"
"Denmark (DK)","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","287","n/e","n/e","115","226","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","118","839","1354"
"Denmark (DK)","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","207","n/e","n/e","114","225","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","121","912","1563"
"Denmark (DK)","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","212","n/e","n/e","113","225","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","120","1164","1974"
"Denmark (DK)","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","238","n/e","n/e","114","227","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","119","1508","2187"
