"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","973","","1259","18019","n/e","n/e","0","32","n/e","22","n/e","746"
"Norway (NO)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","914","","1249","17590","n/e","n/e","0","34","n/e","22","n/e","703"
"Norway (NO)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","865","","1246","16771","n/e","n/e","0","31","n/e","23","n/e","733"
"Norway (NO)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","801","","1245","16434","n/e","n/e","0","33","n/e","26","n/e","752"
"Norway (NO)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","795","","1246","16495","n/e","n/e","0","30","n/e","24","n/e","751"
"Norway (NO)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","875","","1250","16818","n/e","n/e","0","34","n/e","26","n/e","744"
"Norway (NO)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","943","","1253","17689","n/e","n/e","0","34","n/e","25","n/e","692"
"Norway (NO)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1014","","1257","18567","n/e","n/e","0","32","n/e","23","n/e","701"
"Norway (NO)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1025","","1282","19104","n/e","n/e","0","33","n/e","24","n/e","710"
"Norway (NO)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1184","","1279","19514","n/e","n/e","0","32","n/e","24","n/e","665"
"Norway (NO)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1179","","1275","20211","n/e","n/e","0","35","n/e","22","n/e","573"
"Norway (NO)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1389","","1279","20814","n/e","n/e","0","32","n/e","22","n/e","456"
"Norway (NO)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1446","","1280","21145","n/e","n/e","0","29","n/e","23","n/e","393"
"Norway (NO)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1556","","1279","21216","n/e","n/e","0","31","n/e","24","n/e","371"
"Norway (NO)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1571","","1271","21541","n/e","n/e","0","31","n/e","23","n/e","365"
"Norway (NO)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1636","","1269","21914","n/e","n/e","0","31","n/e","23","n/e","351"
"Norway (NO)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1646","","1269","22010","n/e","n/e","0","33","n/e","24","n/e","411"
"Norway (NO)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1647","","1269","21864","n/e","n/e","0","22","n/e","23","n/e","516"
"Norway (NO)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1622","","1266","21758","n/e","n/e","0","24","n/e","24","n/e","457"
"Norway (NO)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1617","","1271","21280","n/e","n/e","0","10","n/e","24","n/e","582"
"Norway (NO)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1542","","1267","20772","n/e","n/e","0","9","n/e","24","n/e","600"
"Norway (NO)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1441","","1265","20666","n/e","n/e","0","10","n/e","22","n/e","623"
"Norway (NO)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1297","","1264","20218","n/e","n/e","0","10","n/e","24","n/e","664"
"Norway (NO)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","n/e","n/e","n/e","78","n/e","n/e","n/e","n/e","n/e","1181","","1260","19441","n/e","n/e","0","34","n/e","24","n/e","808"
