"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Norway (NO)","Actual Total Load [MW] - Norway (NO)"
"01.01.2023 00:00 - 01.01.2023 01:00","16416","16459"
"01.01.2023 01:00 - 01.01.2023 02:00","16194","16547"
"01.01.2023 02:00 - 01.01.2023 03:00","16343","16522"
"01.01.2023 03:00 - 01.01.2023 04:00","16412","16442"
"01.01.2023 04:00 - 01.01.2023 05:00","16349","16406"
"01.01.2023 05:00 - 01.01.2023 06:00","16365","16614"
"01.01.2023 06:00 - 01.01.2023 07:00","16719","16469"
"01.01.2023 07:00 - 01.01.2023 08:00","16675","16539"
"01.01.2023 08:00 - 01.01.2023 09:00","16835","16710"
"01.01.2023 09:00 - 01.01.2023 10:00","17184","16906"
"01.01.2023 10:00 - 01.01.2023 11:00","17301","17375"
"01.01.2023 11:00 - 01.01.2023 12:00","17547","17881"
"01.01.2023 12:00 - 01.01.2023 13:00","17863","17856"
"01.01.2023 13:00 - 01.01.2023 14:00","17971","17966"
"01.01.2023 14:00 - 01.01.2023 15:00","18101","18093"
"01.01.2023 15:00 - 01.01.2023 16:00","18407","18832"
"01.01.2023 16:00 - 01.01.2023 17:00","19117","19374"
"01.01.2023 17:00 - 01.01.2023 18:00","19298","19464"
"01.01.2023 18:00 - 01.01.2023 19:00","19204","19260"
"01.01.2023 19:00 - 01.01.2023 20:00","19050","19122"
"01.01.2023 20:00 - 01.01.2023 21:00","18787","18693"
"01.01.2023 21:00 - 01.01.2023 22:00","18468","18752"
"01.01.2023 22:00 - 01.01.2023 23:00","18370","18576"
"01.01.2023 23:00 - 02.01.2023 00:00","18109","18078"
"02.01.2023 00:00 - 02.01.2023 01:00","17648","17934"
"02.01.2023 01:00 - 02.01.2023 02:00","17607","17876"
"02.01.2023 02:00 - 02.01.2023 03:00","17518","17699"
"02.01.2023 03:00 - 02.01.2023 04:00","17446","17537"
"02.01.2023 04:00 - 02.01.2023 05:00","17511","17541"
"02.01.2023 05:00 - 02.01.2023 06:00","17844","17874"
"02.01.2023 06:00 - 02.01.2023 07:00","18669","18992"
"02.01.2023 07:00 - 02.01.2023 08:00","19819","20391"
"02.01.2023 08:00 - 02.01.2023 09:00","20554","20525"
"02.01.2023 09:00 - 02.01.2023 10:00","20483","20582"
"02.01.2023 10:00 - 02.01.2023 11:00","20624","20615"
"02.01.2023 11:00 - 02.01.2023 12:00","20549","20763"
"02.01.2023 12:00 - 02.01.2023 13:00","20633","20675"
"02.01.2023 13:00 - 02.01.2023 14:00","20554","20532"
"02.01.2023 14:00 - 02.01.2023 15:00","20514","20487"
"02.01.2023 15:00 - 02.01.2023 16:00","20506","20648"
"02.01.2023 16:00 - 02.01.2023 17:00","20688","20705"
"02.01.2023 17:00 - 02.01.2023 18:00","20504","20474"
"02.01.2023 18:00 - 02.01.2023 19:00","20145","20356"
"02.01.2023 19:00 - 02.01.2023 20:00","19932","20079"
"02.01.2023 20:00 - 02.01.2023 21:00","19773","19885"
"02.01.2023 21:00 - 02.01.2023 22:00","19448","19738"
"02.01.2023 22:00 - 02.01.2023 23:00","19312","19347"
"02.01.2023 23:00 - 03.01.2023 00:00","18654","18945"
"03.01.2023 00:00 - 03.01.2023 01:00","18465","18476"
"03.01.2023 01:00 - 03.01.2023 02:00","18339","17835"
"03.01.2023 02:00 - 03.01.2023 03:00","17704","17652"
"03.01.2023 03:00 - 03.01.2023 04:00","17442","17582"
