Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Middeltemperatur (døgn);Middel av middelvind fra hovedobs. (døgn);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Alna;SN18230;01.01.2015;-;2,9;2,3;8,9;4,8
Alna;SN18230;02.01.2015;-;5,3;3,4;12,3;7
Alna;SN18230;03.01.2015;-;2,2;1,6;11,6;5,7
Alna;SN18230;04.01.2015;-;-1,6;1,3;6;3,2
Alna;SN18230;05.01.2015;-;-1,8;0,8;3,4;2,4
Alna;SN18230;06.01.2015;-;2,3;2,7;10,1;4,7
Alna;SN18230;07.01.2015;-;1,6;1,8;11;6
Alna;SN18230;08.01.2015;-;3,6;2,7;13,5;7,5
Alna;SN18230;09.01.2015;-;-2;1,8;8,3;5,1
Alna;SN18230;10.01.2015;-;-0,9;2,5;10,4;5,8
Alna;SN18230;11.01.2015;-;-4,2;1,9;13,5;8,2
Alna;SN18230;12.01.2015;-;-3,8;2,7;7,7;5
Alna;SN18230;13.01.2015;-;1,9;2,9;9,5;5
Alna;SN18230;14.01.2015;-;-0,4;1,8;7,9;4
Alna;SN18230;15.01.2015;-;1,8;2,6;13;6,5
Alna;SN18230;16.01.2015;-;3,6;5;17,7;8,8
Alna;SN18230;17.01.2015;-;1,1;2,7;11,1;6,9
Alna;SN18230;18.01.2015;-;-0,4;1,7;5,1;3,5
Alna;SN18230;19.01.2015;-;-;3,6;8,6;5,2
Alna;SN18230;20.01.2015;-;-;4;-;-
Alna;SN18230;21.01.2015;-;-1,4;3,5;8,8;5,2
Alna;SN18230;22.01.2015;-;-3,7;2,7;7,2;4,3
Alna;SN18230;23.01.2015;-;-7,9;1,4;4,3;2,6
Alna;SN18230;24.01.2015;-;0,5;3;11,8;6,3
Alna;SN18230;25.01.2015;-;-4,2;1,4;4,6;2,5
Alna;SN18230;26.01.2015;-;2,2;1,6;7,5;4
Alna;SN18230;27.01.2015;-;-1;1,2;3,8;2,7
Alna;SN18230;28.01.2015;-;2,2;3;10,9;5,9
Alna;SN18230;29.01.2015;-;1;2,5;8,5;4,1
Alna;SN18230;30.01.2015;-;0;2,2;8;4,1
Alna;SN18230;31.01.2015;-;-0,4;4,1;10,1;5,7
Alna;SN18230;01.02.2015;-;-2,3;3,1;9,7;5,4
Alna;SN18230;02.02.2015;-;-3,5;2,4;7,1;4,4
Alna;SN18230;03.02.2015;-;-4;2,2;6,6;3,7
Alna;SN18230;04.02.2015;-;-6,8;2,3;6,3;4,3
Alna;SN18230;05.02.2015;-;-8,5;1,9;5,3;3,8
Alna;SN18230;06.02.2015;-;-3,6;0,9;3,1;1,9
Alna;SN18230;07.02.2015;-;-0,4;2,6;14,3;7,8
Alna;SN18230;08.02.2015;-;-1,1;1,3;14,2;7,8
Alna;SN18230;09.02.2015;-;3,2;1,2;4;2,7
Alna;SN18230;10.02.2015;-;5,2;1,8;7,1;3,8
Alna;SN18230;11.02.2015;-;1,6;1,4;5,6;3,6
Alna;SN18230;12.02.2015;-;-0,4;1,2;5;2,8
Alna;SN18230;13.02.2015;-;1,3;1,9;7,3;4,7
Alna;SN18230;14.02.2015;-;1,7;1,5;5,6;3,5
Alna;SN18230;15.02.2015;-;-0,1;3;7,5;4,1
Alna;SN18230;16.02.2015;-;-1,1;2,5;7,6;4,2
Alna;SN18230;17.02.2015;-;1,5;3,4;11;6
Alna;SN18230;18.02.2015;-;4,4;1,9;8,8;4,9
Alna;SN18230;19.02.2015;-;5;3,6;11,4;6,5
Alna;SN18230;20.02.2015;-;3,6;2,7;9,1;5,3
Alna;SN18230;21.02.2015;-;0,9;1,5;6,1;3,5
Alna;SN18230;22.02.2015;-;0,4;1,9;6,9;3,5
Alna;SN18230;23.02.2015;-;1,4;3,5;16,1;6,3
Alna;SN18230;24.02.2015;-;2,5;3,1;8,5;4,6
Alna;SN18230;25.02.2015;-;3,4;3,2;10,8;5,6
Alna;SN18230;26.02.2015;-;2,4;3,6;13,5;6,7
Alna;SN18230;27.02.2015;-;1,7;1,4;12,7;6,8
Alna;SN18230;28.02.2015;-;1,4;3,7;12,9;6,7
Alna;SN18230;01.03.2015;-;1,9;3,5;13,5;6,8
Alna;SN18230;02.03.2015;-;3,3;2,6;9,7;4,8
Alna;SN18230;03.03.2015;-;1,8;1,3;7;3,7
Alna;SN18230;04.03.2015;-;-0,2;1,3;7;3,8
Alna;SN18230;05.03.2015;-;1,2;1,9;8,4;4,3
Alna;SN18230;06.03.2015;-;5,6;2,3;8,2;4,4
Alna;SN18230;07.03.2015;-;6;5,7;17,2;10,2
Alna;SN18230;08.03.2015;-;6,9;3,8;16,8;8,3
Alna;SN18230;09.03.2015;-;4,6;2,6;8,2;5
Alna;SN18230;10.03.2015;-;7,4;4,9;14,7;9
Alna;SN18230;11.03.2015;-;6;2;9,1;4,8
Alna;SN18230;12.03.2015;-;4,4;1,4;4,6;2,6
Alna;SN18230;13.03.2015;-;2,7;1,7;4,6;3,4
Alna;SN18230;14.03.2015;-;2,8;2,3;8,3;4,5
Alna;SN18230;15.03.2015;-;3,8;2,4;7,8;4,6
Alna;SN18230;16.03.2015;-;4,7;3;7,3;4,7
Alna;SN18230;17.03.2015;-;4,9;2,9;7,4;4,8
Alna;SN18230;18.03.2015;-;4,1;1,6;5,2;3,1
Alna;SN18230;19.03.2015;-;2,9;1,4;4,2;2,4
Alna;SN18230;20.03.2015;-;3,5;2,3;5;2,5
Alna;SN18230;21.03.2015;-;0,4;3,5;13,5;7,6
Alna;SN18230;22.03.2015;-;0,4;2,9;9,8;5,2
Alna;SN18230;23.03.2015;-;5,2;3,5;12,8;6,7
Alna;SN18230;24.03.2015;-;6,1;-;-;-
Alna;SN18230;25.03.2015;-;1,8;-;-;-
Alna;SN18230;26.03.2015;-;-0,8;4;12,2;7,7
Alna;SN18230;27.03.2015;-;2,2;1,2;4,7;2,9
Alna;SN18230;28.03.2015;-;2,5;2,3;9,3;5,8
Alna;SN18230;29.03.2015;-;-;1,6;-;-
Alna;SN18230;31.03.2015;-;2,7;1,6;7,3;3,9
Alna;SN18230;01.04.2015;-;3,3;1,8;9,9;5,8
Alna;SN18230;02.04.2015;-;4,7;3,6;11,1;6,6
Alna;SN18230;03.04.2015;-;4,5;2,7;8,8;5,3
Alna;SN18230;04.04.2015;-;3,6;2,3;7,7;4,2
Alna;SN18230;05.04.2015;-;2,9;1,5;4;2,5
Alna;SN18230;06.04.2015;-;5,2;2,6;9,8;5,2
Alna;SN18230;07.04.2015;-;9,3;2,3;10,1;5,4
Alna;SN18230;08.04.2015;-;9,1;2,3;9,2;5,7
Alna;SN18230;09.04.2015;-;8,7;2,4;9,5;5,4
Alna;SN18230;10.04.2015;-;8,5;2,7;9,5;5,2
Alna;SN18230;11.04.2015;-;5,8;1,8;6,7;3,7
Alna;SN18230;12.04.2015;-;7,5;3,2;10,8;6,1
